"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"SRR8812520"	78.53	18.29	2.69
"SRR3719534"	98.02	1.84	0.03
"SRR2177362"	98.68	1.15	0.04
"SRR3719655"	95.62	3.27	0.11
"SRR1658471"	98.06	1.05	0.01
"SRR2107175"	85.41	14.58	0
"SRR2090170"	98.95	1.01	0.03
"SRR3719478"	96.96	2.22	0.06
"SRR2844601"	46.81	52.62	0.15
"SRR8815204"	78.1	15.74	5.31
"SRR5829543"	95.8	3.35	0
"SRR3719533"	93.67	5.16	0.16
"SRR3719574"	80.09	18.87	0.31
"SRR2090150"	97.71	1.51	0.23
"SRR3719539"	81.54	18.31	0.1
"ERR687892"	94.91	4.78	0.03
"SRR1183650"	78.28	21.46	0.15
"SRR8812688"	82.66	15.8	1.16
"ERR687894"	93.1	6.61	0.01
"SRR8812489"	73.82	20.53	4.77
"ERR712389"	84.09	8.25	0.05
"SRR2090172"	97.71	2.09	0.19
"ERR712383"	76.03	23.44	0.02
"SRR3719696"	96.32	2.97	0.21
"SRR3719695"	95.5	3.74	0.14
"SRR3719505"	98.53	1.28	0.03
"SRR8812654"	76.58	21.62	1.46
"ERR671919"	94.9	4.76	0.03
"SRR2107210"	92.36	7.47	0.04
"SRR1658343"	97.55	0.84	0.02
"SRR2090162"	88.14	11.58	0.14
"ERR687896"	95.06	4.72	0.01
"SRR3719647"	96.57	3.34	0.05
"SRR1658463"	93.08	5.74	0.01
"SRR8812842"	66.12	30.89	2.29
"SRR2177986"	96.45	3.26	0.05
"SRR1168574"	88.31	11.01	0.57
"SRR2107211"	92.35	7.47	0.05
"ERR712368"	84.71	8.35	0.02
"SRR2546425"	94.89	5	0.07
"ERR687898"	94.1	5.61	0.04
"SRR3719571"	96.78	2.96	0.04
"ERR671939"	94.94	4.77	0.02
"SRR5422912"	32.01	67.97	0.02
"SRR8185553"	97.14	0.67	2.19
"SRR1106873"	93.49	6.29	0.17
"SRR3712204"	71.49	28.45	0.04
"SRR5829547"	95.89	2.71	0
"ERR671911"	94.26	5.45	0.03
"SRR2090151"	97.53	2	0.17
"SRR1168487"	49.91	6.82	0.19
"SRR8812557"	75.46	20.61	3.22
"SRR1658462"	98.62	0.98	0.01
"SRR5422949"	70.61	9.69	19.65
"SRR2107215"	83.75	15.93	0.04
"SRR1658466"	93.81	3.04	0.01
"SRR8814843"	31.84	68.09	0.05
"ERR712391"	66.47	10.73	0.04
"SRR8814430"	75.93	23.75	0.23
"SRR8816716"	72.42	26.61	0.74
"SRR5423072"	80.28	8.83	10.86
"SRR5422910"	52.48	47.49	0.02
"SRR8815306"	56.09	41.58	1.39
"SRR5829540"	94.86	3.08	0.01
"SRR8815022"	84.84	11.46	3.27
"SRR2107213"	90.26	9.47	0.07
"SRR5424787"	30.67	69.31	0.02
"SRR2090155"	96.87	2.17	0.03
"SRR5424786"	93.65	6.33	0.02
"SRR2546422"	92.25	7.67	0.04
"SRR3719657"	95.35	3.54	0.12
"SRR2546430"	80.7	19.23	0.05
"SRR2090166"	97.54	1.66	0.04
"SRR8812787"	79.58	17.97	1.76
"SRR7897070"	83.65	16.18	0.16
"SRR3719625"	94.05	4.98	0.07
"SRR1658465"	97.1	1.91	0.01
"ERR712387"	77.82	22.07	0.06
"SRR8812617"	61.57	36.96	0.99
"SRR8816704"	78	21.09	0.71
"SRR2107171"	83.98	15.97	0.04
"SRR3712207"	86.4	12.01	1.47
"SRR2090175"	96.39	3.47	0.11
"SRR3719693"	96.36	3.42	0.07
"SRR8814505"	94.64	5.13	0.16
"SRR8815313"	47.91	49.67	1.38
"ERR712386"	79.25	20.43	0.11
"SRR8815338"	81.3	15.02	3.08
"SRR8816663"	80.01	19.9	0.04
"SRR3719629"	95.88	3.38	0.07
"ERR712388"	73.42	12.57	0.02
"SRR8812463"	79.59	14.99	4.8
"SRR8815005"	78.35	18.64	2.33
"SRR8813202"	95.42	4.31	0.19
"SRR8812506"	75.25	22.81	1.5
"SRR1658473"	96.09	3.53	0.01
"SRR3719544"	93.67	5.4	0.1
"SRR3719691"	94.61	4.21	0.12
"SRR5204209"	28.72	71.28	0
"SRR1658468"	98.02	1.06	0.01
"SRR8812803"	67.82	29.24	2.33
"SRR2107173"	83.99	15.96	0.04
"SRR3719692"	96.34	3.37	0.05
"ERR712385"	67.76	8.87	0.17
"SRR8815234"	65.62	30.48	2.97
"SRR8812465"	76.4	21.1	2.11
"SRR8816700"	84.45	14.42	0.94
"SRR8815068"	66.64	30.51	2.06
"SRR8815004"	85.6	12.18	1.88
"SRR8815304"	77.18	20.1	1.63
"SRR5423073"	95.29	4.44	0.24
"SRR8816643"	84.03	14.24	1.57
"SRR3719644"	96.68	2.65	0.04
"SRR2177950"	75.77	23.57	0.42
"ERR712376"	81.78	11.33	0.02
"SRR8815357"	76.34	16.79	5.48
"SRR1185413"	93.72	5.33	0.61
"SRR2895134"	86.51	12.38	0.69
"SRR8812764"	70.55	24.85	3.75
"SRR8816665"	84.49	15.33	0.12
"SRR8812459"	70.28	25.84	2.97
"SRR2071948"	95.91	4	0.06
"SRR8815213"	67.63	28.9	2.25
"SRR8812851"	54.54	40.18	3.23
"SRR5422913"	79.82	8.03	12.09
"SRR8814684"	94.46	5.4	0.09
"SRR8815334"	84.74	12.94	2.03
"SRR8812454"	72.3	23.23	3.63
"SRR8814666"	71.19	26.93	1.31
"SRR5829549"	95.01	4.5	0
"SRR8816632"	81.46	17.59	0.79
"SRR2107177"	85.21	14.75	0.02
"SRR2090157"	92.27	4.93	0.05
"SRR8816641"	84.96	13.27	1.51
"SRR8816760"	89.25	8.58	2.02
"SRR8815014"	51.6	44.26	2.28
"SRR8816714"	71.06	27.67	1
"SRR8812773"	79.71	17.77	2.18
"SRR2090149"	98.36	1.26	0.13
"SRR5422032"	75.25	24.72	0.03
"SRR8814832"	70.29	27.93	1.26
"SRR8815171"	78.04	19.8	1.67
