"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"ERR3211739"	53.66	46.09	0.09
"SRR7907989"	93.05	6.72	0.22
"ERR3211702"	66.04	33.44	0.37
"ERR3211653"	52.27	47.58	0.03
"SRR9178254"	97.36	0.13	0.2
"SRR9178259"	97.06	0.61	0.6
"SRR9178119"	95.31	1.28	1.44
"SRR9178087"	94.44	1.71	1.47
"SRR9178137"	96.3	1.48	0.46
"SRR9178166"	96.71	0.77	0.4
"SRR9178199"	95.72	1.44	0.45
"SRR9178143"	81.22	16.92	1.2
"SRR9178072"	98.51	0.2	0.33
"SRR9178069"	96.79	0.88	0.2
"SRR9178265"	96.86	0.26	0.26
"SRR9178174"	97.09	0.44	0.35
"SRR9178073"	98.36	0.17	0.24
"SRR9178176"	96.77	0.91	0.92
"SRR7877889"	23.74	76.12	0.1
"SRR9178205"	95.22	2.57	0.77
"SRR9178074"	96.45	1.22	0.33
"SRR9178091"	95.01	0.96	1.13
"ERR3211562"	65.45	34.03	0.37
"ERR3211737"	67.81	31.85	0.26
"SRR9178185"	97.7	0.21	0.24
"SRR9178168"	98	0.29	0.3
"ERR3211731"	72.71	26.92	0.28
"SRR9178152"	79.49	18.45	1.47
"SRR9178252"	94.06	2.71	0.83
"SRR9178163"	98.19	0.16	0.23
"SRR9178235"	94.88	1.06	1.33
"ERR3211715"	69.31	30.29	0.31
"SRR8821162"	94.1	5.58	0.3
"SRR9178122"	96.93	0.4	0.2
"SRR9178136"	95.78	1.75	0.69
"SRR9178172"	94.77	2.53	1.01
"SRR9178293"	94.93	0.98	0.84
"SRR9178142"	82.7	14.79	1.73
"SRR9178247"	97.41	0.23	1.25
"SRR9178068"	91.02	1.4	0.99
"SRR9178257"	97.92	0.19	0.24
"ERR3211741"	51.53	48.18	0.16
"SRR9178141"	91.41	5.62	1.89
"SRR9178128"	97.77	0.18	0.36
"SRR9178078"	96.47	1.36	0.44
"SRR9178099"	96.63	0.85	0.61
"SRR9178110"	94.91	0.93	1.12
"SRR9178204"	98.6	0.19	0.4
"SRR9178111"	94.95	1.1	1.11
"SRR9178230"	95.19	0.98	1.33
"SRR9178315"	95.95	0.78	0.98
"SRR9178158"	94.26	3.31	1.28
"SRR9178264"	95.39	0.25	0.28
"SRR9178127"	95.61	2.27	0.65
"SRR9178109"	81.22	16.55	1.41
"SRR9178162"	95.55	1.4	0.42
"SRR9178105"	83.47	13.62	2.16
"SRR9178236"	78.53	19.41	1.6
"SRR9178108"	95.72	1.56	1.07
"SRR9178116"	95.27	2.54	0.9
"SRR9178151"	80.16	17.7	1.51
"SRR9178194"	82.88	15.16	1.5
"SRR9178277"	91.63	1.36	0.9
"ERR3211738"	68.81	30.87	0.25
"SRR9178196"	91.67	5.33	1.83
"SRR9178125"	97.11	0.24	1.36
"SRR9178131"	95.76	2.01	0.61
"SRR9178098"	95.38	0.99	1.32
"SRR9178198"	97.71	0.38	0.47
"SRR9178215"	95.19	1.05	1.37
"SRR9178173"	95.9	1.9	0.68
"SRR9178248"	96.79	1.24	0.35
"ERR3211721"	70.26	29.4	0.23
"SRR9178243"	95.61	1.81	0.93
"SRR9178084"	90.19	1.5	0.92
"SRR9178180"	97.71	0.26	0.48
"SRR9178085"	79.11	18.79	1.49
"SRR9178129"	98.52	0.12	0.5
"SRR9178134"	97.63	0.37	0.4
"SRR9178238"	95.82	1.94	0.55
"SRR9178266"	98.58	0.13	0.33
"ERR3212016"	70.01	29.61	0.3
"SRR9178322"	95.03	1.56	0.51
"SRR9178089"	83.25	14.74	1.29
"SRR9178291"	95.55	0.81	1.3
"SRR9178104"	78.51	19.62	1.45
"SRR9178283"	96.29	0.34	0.55
"SRR9178149"	83.43	14.34	1.4
"SRR9178147"	91.68	5.47	1.83
"SRR9178177"	98.33	0.17	0.35
"SRR9178263"	97.06	0.98	0.33
"SRR9178140"	96.04	0.56	0.3
"SRR9178323"	95.44	1.25	0.35
"SRR9178218"	79.39	18.95	1.17
"SRR9178107"	95.18	0.88	1.08
"SRR9178148"	94.82	0.88	0.99
"SRR9178086"	95.85	0.86	1.14
"SRR9178154"	95.01	0.89	1.35
"SRR8206192"	89.41	9.86	0.58
"SRR9178212"	89.75	1.49	0.66
"SRR8821164"	92.53	7.39	0.07
"SRR9178157"	81.34	16.57	1.32
"ERR3211676"	54.99	44.86	0.03
"SRR9178289"	94.96	1.16	1.22
"SRR8821168"	92.78	7.15	0.06
"SRR9178284"	95.21	1.21	0.97
"SRR9178270"	98.82	0.17	0.24
"SRR9178167"	95.7	1.88	0.57
"SRR9178153"	96.21	1.38	0.91
"ERR3211728"	70.8	28.84	0.26
"SRR9178240"	98.06	0.18	0.27
"SRR8821140"	92.09	7.72	0.18
"SRR9178384"	99.04	0.11	0.29
"SRR8821142"	90.92	8.94	0.13
"SRR8821148"	91.87	8.04	0.08
"ERR3211734"	69.47	30.26	0.19
"SRR9178189"	95.61	1.02	1.09
"SRR9178290"	81.58	16.05	1.56
"SRR9178351"	96.12	0.19	0.18
"SRR9178219"	80.02	18.06	1.21
"SRR9178200"	95.39	0.96	0.78
"SRR9178234"	95.66	0.88	1.15
"SRR9178281"	79.91	18.26	1.13
"SRR8821124"	95.19	4.79	0.02
"SRR9178216"	81.85	15.95	1.5
"SRR9178276"	77.37	21.06	1.13
"SRR9178355"	94.21	0.96	1.15
"SRR9178256"	97.1	0.77	0.64
"SRR9178250"	96.24	1.43	0.5
"SRR9178305"	96.29	1.49	0.47
"SRR9178203"	95.87	2.12	0.6
"SRR9178088"	96.29	1.38	1.32
"SRR9178367"	83.09	14.06	1.37
"SRR9178297"	95.87	1.62	0.89
"SRR9178221"	94.79	0.96	0.88
"SRR9178273"	86.4	11.46	1.18
"SRR9178232"	94.14	1.68	1.16
"SRR9178251"	98.53	0.15	0.51
"SRR9178181"	99.15	0.14	0.17
"SRR9178226"	82.18	15.36	1.82
"SRR9178343"	95.46	2.23	0.49
"SRR9178260"	95.76	1.92	0.38
"SRR9178160"	94.97	0.85	1.27
"SRR9178225"	87.01	11.12	1.14
"SRR9178278"	94.84	1.95	1.3
"SRR9178224"	78.97	18.78	1.38
"SRR9178317"	91.63	1.47	1.12
"SRR9178319"	83.77	13.67	1.48
"SRR9178193"	82.29	15.29	1.89
"SRR9178274"	79.64	18.65	0.97
"SRR9178209"	78.66	19.71	1.16
"SRR9178304"	96.18	1.38	0.32
"SRR9178279"	83.44	14.35	1.76
"SRR9178233"	83.84	13.61	2.12
"SRR9178222"	94.89	1	0.99
"SRR9178179"	97.62	0.22	0.34
"SRR9178308"	98.51	0.12	0.23
"SRR9178374"	95.05	0.89	1.13
"SRR9178346"	97.93	0.24	0.29
"SRR9178227"	94.87	1.35	1.1
"SRR9178330"	80.28	17.72	1.3
"SRR9178191"	80.56	17.04	1.23
"SRR9178344"	98.19	0.14	0.26
"SRR9178331"	94.61	1.02	1.17
"SRR9178150"	94.74	0.94	1.11
"SRR9178327"	98.07	0.3	0.66
"SRR9178220"	80.98	16.7	1.55
"SRR9178245"	97.58	0.21	0.28
"SRR9178390"	96.83	0.32	0.45
"SRR9178295"	96.2	1.22	0.67
"SRR9178356"	94.2	3.15	1.11
"SRR9178298"	98.43	0.21	0.42
"SRR9178169"	96.2	1.4	0.57
"SRR9178400"	98.07	0.26	0.42
"SRR9178337"	80.61	17.58	1.36
"SRR9178406"	93.49	4.3	1.11
"SRR7907993"	92.59	7.18	0.21
"SRR9178338"	82.45	15.3	1.55
"SRR9178207"	96.93	0.62	0.48
"SRR9178345"	97.93	0.17	0.28
"SRR9178332"	94.33	1.59	1.11
"ERR3211712"	67.88	30.32	1.7
"SRR9178300"	94.83	3.15	0.93
"SRR9178186"	98.2	0.24	0.31
"SRR9178287"	78.71	19.12	1.38
"SRR9178286"	82.71	14.48	2.12
"SRR9178396"	96.3	1.67	0.51
"SRR9178271"	97.78	0.17	0.32
"SRR9178353"	79.41	18.81	1.36
"SRR9178364"	97.96	0.17	0.38
"SRR9178407"	81.24	16.6	1.56
"SRR9178377"	96.96	1.09	0.3
"SRR9178258"	96.88	0.38	0.36
"SRR9178246"	96.95	0.58	0.5
"SRR9178237"	77.24	20.94	1.41
"SRR9178394"	95.63	0.58	0.45
"SRR9178354"	94.85	0.96	0.92
"SRR9178272"	96.34	1.18	0.22
"SRR9178365"	97.61	0.21	0.25
"SRR9178170"	96.08	1.49	0.6
"SRR9178415"	96.01	0.28	0.27
"SRR9178244"	97.61	0.2	0.75
"SRR9178340"	96.23	1.52	0.31
"SRR9178387"	95.99	1.6	0.51
"SRR9178401"	98.35	0.2	0.31
"SRR9178417"	96.84	0.66	0.32
"SRR9178341"	98.54	0.14	0.24
"SRR9178285"	80.19	17.74	1.42
"SRR9178282"	82.19	15.09	1.84
"SRR9178418"	96.2	1.74	0.51
"SRR9178342"	94.58	1.73	0.41
"SRR9178410"	81.66	15.87	1.85
"SRR9178313"	98.53	0.13	0.24
"SRR9178326"	97.35	0.52	0.52
"SRR9178262"	98.15	0.23	0.5
"SRR9178402"	85.78	12.36	1.18
"SRR9178269"	96.86	1	0.4
"SRR9178306"	97.91	0.4	0.4
"SRR9178280"	94.86	0.9	1.02
"SRR9178380"	97.3	0.28	0.41
"SRR9178334"	84.54	12.88	1.83
"SRR9178301"	96.35	1.37	0.39
"SRR9178267"	97.5	0.26	0.45
"SRR9178385"	97.84	0.21	0.27
"SRR9178296"	97.02	0.28	0.24
"SRR9178371"	95.32	1.27	1.01
"SRR9178383"	98.38	0.14	0.29
"SRR9178318"	83.01	15	1.24
"SRR9178314"	81.44	16.34	1.42
"SRR9178302"	96.71	1.02	0.45
"SRR9178409"	95.19	1.2	0.97
"SRR9178268"	96.02	1.46	0.33
"SRR9178320"	95.13	2.65	0.78
"SRR9178369"	95.16	0.9	1.16
"SRR9178414"	96.55	1.01	0.4
"SRR9178165"	96.69	1.11	0.51
"SRR9178381"	94.88	2.68	0.72
"SRR9178386"	98.58	0.15	0.22
"SRR9178329"	97.75	0.2	0.4
"SRR9178363"	96.23	1.47	0.31
"SRR9178392"	96.12	0.89	0.29
"SRR9178303"	98.32	0.13	0.55
"SRR9178348"	96.2	1.44	0.29
"SRR9178307"	96.64	1.18	0.38
"SRR9178421"	98.16	0.18	0.53
"SRR9178309"	95.95	0.63	0.21
"SRR9178373"	95.43	0.91	1.33
"SRR8821170"	91.14	8.74	0.11
"SRR9178339"	95.68	0.97	1.25
"SRR9178362"	87.48	10.03	1.26
"SRR9178361"	95.35	1.64	1.25
"SRR9178425"	97.15	0.24	0.27
"SRR9178378"	96.36	1.59	0.42
"SRR9178360"	94.66	1.32	0.96
"SRR9178359"	82.66	15	1.53
"SRR9178413"	94.97	2.4	0.99
"SRR9178419"	95.47	0.93	0.31
"SRR9178448"	97.95	0.71	0.26
"SRR9178442"	94.08	2.19	1.48
"SRR9178441"	93.08	4.66	1.11
"SRR9178416"	95.83	1.73	0.5
"SRR9178426"	96.34	1.42	0.51
"SRR9178434"	95.17	2.39	0.44
"SRR9178321"	97.37	0.36	0.45
"SRR9178389"	97.56	0.15	0.21
"SRR9178427"	98.19	0.2	0.37
"SRR9178430"	98.14	0.17	0.31
"SRR9178408"	95.6	0.86	1.25
"SRR9178470"	98.98	0.15	0.22
"SRR9178458"	95.18	0.93	1.18
"SRR9178347"	96.07	1.51	0.56
"SRR9178403"	95.04	1.49	1.19
"SRR9178299"	97.48	0.32	0.42
"SRR9178328"	98.19	0.17	0.31
"SRR9178379"	97.82	0.14	0.18
"SRR9178428"	97.17	0.27	0.32
"SRR9178412"	97.33	0.73	0.48
"SRR9178376"	98.52	0.16	0.29
"SRR9178350"	97.58	0.18	0.36
"SRR9178316"	84.39	13.45	1.4
"SRR9178382"	97.67	0.24	0.27
"SRR9178411"	83.62	13.48	2.28
"SRR9178463"	91.86	1.4	1.08
"SRR9178439"	95.86	0.8	1.03
"SRR9178480"	95.37	0.9	0.89
"SRR9178352"	98.11	0.2	0.3
"SRR9178515"	96.95	0.92	0.4
"SRR9178438"	82.85	14.96	1.49
"SRR9178517"	97.87	0.17	0.36
"SRR9178420"	96.83	1.28	0.72
"SRR9178451"	98.41	0.15	0.33
"SRR9178393"	95.81	1.81	0.29
"SRR9178453"	96.26	0.95	0.47
"SRR9178437"	89.69	8.3	1.42
"SRR9178461"	88.84	8.73	1.77
"SRR9178459"	95.16	1.37	1.2
"SRR9178431"	97.42	0.55	0.31
"SRR9178460"	94.99	0.87	1.14
"SRR9178391"	95.94	1.67	0.53
"SRR9178456"	94.73	0.94	1.27
"SRR9178500"	93.37	3.53	2
"SRR9178487"	78.98	18.35	2.19
"SRR9178432"	95.27	2.64	0.72
"SRR9178468"	95.67	1.77	0.91
"SRR9178450"	98.43	0.2	0.37
"SRR9178446"	97.73	0.2	0.29
"SRR9178435"	98.92	0.14	0.22
"SRR9178455"	97.91	0.18	0.69
"SRR8517159"	93.86	6.08	0.05
"SRR9178464"	95.28	0.88	1.24
"SRR9178514"	97.46	0.39	0.48
"SRR9178452"	97.65	0.22	0.22
"SRR9178473"	97.65	0.35	0.39
"SRR9178397"	97.41	0.19	0.3
"SRR9178532"	94.73	2.6	1.08
"SRR9178444"	90.01	1.59	0.94
"SRR9178488"	76.82	21.01	1.51
"SRR9178534"	91.2	1.54	0.88
"SRR9178457"	95.17	0.89	0.99
"ERR2592247"	53.39	46.44	0.06
"SRR7042348"	95.63	4.31	0.05
"SRR9178522"	98.44	0.19	0.34
"SRR9178492"	95.4	0.8	1.26
"SRR9178507"	93.9	1.08	1.09
"SRR9178501"	94.68	0.92	1.14
"SRR9178518"	97.75	0.24	0.31
"SRR9178454"	95.83	1.75	0.81
"SRR9178436"	79.29	18.62	1.62
"SRR9178474"	97.41	0.2	0.38
"SRR9178483"	76.09	21.48	1.86
"SRR9178469"	97.41	0.22	0.38
"DRR090553"	90.57	9.05	0.26
"SRR9178533"	93.71	3.39	1.5
"SRR9178493"	90.46	7.59	1.37
"SRR7042373"	96.08	3.88	0.04
"SRR7042350"	93.94	5.97	0.09
"SRR7042340"	95.26	4.67	0.06
"SRR8224500"	31.32	68.47	0.15
"SRR9178520"	96.31	0.29	0.28
"DRR090560"	94.75	5.04	0.09
"SRR7042338"	95.45	4.49	0.05
"SRR9178485"	91.7	5.66	1.64
"ERR2592274"	63.72	34.38	1.51
"ERR2592267"	65.05	34.57	0.32
"SRR9178476"	83.95	13.18	1.73
"SRR7042335"	95.97	3.97	0.05
"SRR7042379"	94.93	5.03	0.03
"SRR7042342"	95.41	4.54	0.05
"ERR2592340"	78.85	19.36	1.37
"SRR9178506"	91.25	1.5	0.92
"SRR7042362"	95.54	4.4	0.05
"DRR090563"	80.62	18.87	0.21
"SRR9178443"	82.29	15.38	1.84
"SRR9178477"	94.83	1.26	0.93
"SRR8517161"	91	8.83	0.15
"SRR9178482"	82.24	15.98	0.99
"SRR8208348"	92.14	7.67	0.19
"SRR7042341"	96.63	3.33	0.02
"SRR7042365"	95.73	4.19	0.06
"SRR7042358"	94.61	5.33	0.06
"SRR7042351"	95.35	4.59	0.05
"ERR2592273"	55.37	44.58	0.03
"SRR9178491"	94.7	1.26	1.07
"SRR7042390"	94.73	5.22	0.04
"ERR2592277"	54.72	43.74	0.95
"SRR9178472"	96.26	1.59	0.56
"DRR090570"	77	17.02	5.46
"SRR9178535"	95.56	0.84	1.22
"SRR7042378"	95.19	4.76	0.04
"SRR8223441"	93.41	6.34	0.25
"SRR9178465"	80.75	17.56	1.2
"SRR9178521"	98.29	0.15	0.29
"SRR9178519"	96.59	1.07	0.36
"SRR8517160"	90.2	9.56	0.18
"SRR9178502"	82.05	16.2	1.08
"ERR2592266"	90.56	9.18	0.08
"DRR090571"	76.09	19.88	3.36
"SRR9178475"	95.85	0.83	0.28
"SRR9178526"	95.79	1.84	0.56
"ERR2592341"	73.93	24.79	0.4
"SRR7042382"	95.34	4.59	0.06
"SRR8517163"	60.01	39.91	0.02
"SRR7042345"	94.19	5.74	0.06
"SRR8821163"	94.19	5.74	0.06
"SRR7042344"	95.17	4.77	0.05
"SRR7042339"	95.2	4.74	0.05
"ERR2592245"	50.96	48.73	0.12
"SRR7042367"	95.12	4.82	0.06
"SRR7042372"	95.04	4.89	0.06
"SRR9178484"	93.89	2.95	1.39
"SRR9178512"	98.39	0.42	0.32
"ERR2592336"	71.84	26.66	1.07
"SRR9178478"	96.04	1.48	1.39
"ERR2592257"	61.08	38.55	0.11
"SRR8517162"	92.28	7.6	0.08
"SRR8821135"	94.61	5.34	0.04
"SRR9178528"	93.55	3.64	1.59
"SRR8821153"	92.24	7.7	0.05
"SRR7042387"	94.91	5.01	0.07
"ERR2592332"	67.12	32.24	0.33
"SRR9178531"	82.17	15.55	1.56
"SRR7648293"	34.01	0.13	0.03
"SRR7042357"	95.12	4.83	0.04
"SRR9178524"	98	0.19	0.22
"SRR8554900"	92.63	5.16	2.19
"SRR7042346"	93.88	6.03	0.08
"SRR8517158"	92.42	7.47	0.09
"SRR9178511"	98.38	0.22	0.32
"SRR7042370"	95.73	4.22	0.03
"SRR9178489"	94.84	0.91	1.03
"ERR2592248"	52.3	47.21	0.18
"SRR9178440"	92.06	1.32	0.85
"SRR7042355"	95.07	4.86	0.07
"SRR8821141"	93.24	6.65	0.11
"SRR7042368"	94.67	5.26	0.06
"ERR2592276"	65.35	33.84	0.15
"SRR7042354"	95.54	4.39	0.06
"SRR8224501"	43.89	56.05	0.04
"SRR7042334"	95.68	4.26	0.04
"ERR2592258"	74.43	25.42	0.07
"SRR7042359"	95.44	4.49	0.06
"SRR7042349"	95.76	4.18	0.05
"SRR9178496"	98.41	0.16	0.54
"ERR2592256"	38.96	60.49	0.52
"SRR8208344"	63.27	35.76	0.83
"SRR7042343"	94.73	5.16	0.1
"SRR9178516"	97.46	0.25	0.29
"SRR7042385"	95.94	3.99	0.06
"SRR7042353"	94.93	4.99	0.08
"SRR7042380"	95	4.95	0.03
"SRR8208343"	69.01	30.72	0.22
"SRR8821138"	90.27	9.64	0.08
"ERR2592263"	56.75	42.51	0.21
"ERR2592253"	69.96	29.73	0.13
"ERR2592329"	59.46	40	0.12
"SRR7648274"	35.98	0.22	0.04
"SRR7648343"	95.59	0.36	0.15
"SRR6039452"	93.42	6.53	0.02
"SRR6800327"	85.64	14.23	0.01
"SRR9178509"	95.68	0.32	0.28
"SRR9178505"	90.54	1.27	1.33
"SRR9178536"	94.44	2.86	1.38
"SRR7265439"	94.61	3.05	0.61
"SRR9178527"	97.08	0.16	0.22
"ERR2592283"	66.01	33.52	0.21
"SRR7042364"	95.32	4.62	0.05
"DRR092709"	82.05	16.58	1.24
"SRR7042363"	96.2	3.76	0.04
"ERR2592282"	64.37	34.27	0.78
"SRR8821125"	93.84	6.08	0.07
"SRR7042371"	96.26	3.69	0.04
"SRR7042369"	94.28	5.59	0.12
"SRR7042336"	96.15	3.8	0.04
"DRR090564"	80.38	13.75	5.47
"SRR7042386"	94.84	5.08	0.07
"SRR7042393"	94.97	4.93	0.09
"SRR7042360"	94.25	5.64	0.1
"SRR6814546"	95.49	4.37	0.13
"ERR2592251"	68.79	30.8	0.2
"SRR7042375"	95.19	4.77	0.04
"SRR7265442"	97.26	2.1	0.2
"SRR7042377"	94.44	5.48	0.06
"SRR8821132"	94.32	5.59	0.07
"SRR9178523"	92.87	4.86	0.79
"SRR8821154"	92.09	7.8	0.09
"SRR6039439"	93.15	6.82	0.02
"SRR9178467"	96.01	2.03	0.45
"ERR2592252"	68.99	30.49	0.16
"SRR7042391"	96.66	3.28	0.04
"SRR8821121"	93.1	6.85	0.04
"SRR8821126"	94.06	5.88	0.05
"ERR2592260"	52.03	47.73	0.18
"SRR8554898"	90.97	6.4	2.62
"SRR6820486"	99.53	0.43	0.04
"SRR8821133"	93.79	6.15	0.05
"SRR7648348"	104.42	0.27	0.13
"ERR2592337"	61.73	37.84	0.23
"SRR8821119"	92.95	6.97	0.06
"DRR092705"	67.14	30.88	1.59
"ERR2592278"	59.82	39.49	0.16
"SRR7042347"	94.79	5.13	0.07
"SRR7042381"	94.82	5.02	0.06
"SRR8821144"	93.86	6.02	0.12
"SRR7042392"	95.63	4.23	0.13
"SRR8821129"	93.51	6.4	0.08
"SRR7042389"	95.71	4.25	0.02
"SRR7648321"	56.34	0.16	0.1
"SRR6800323"	74.92	25.01	0.03
"SRR7042356"	94.85	5.06	0.08
"SRR8208349"	88.17	11.7	0.12
"ERR2592271"	61.96	36.22	0.7
"DRR092713"	95.29	4.12	0.41
"ERR2592280"	60.25	38.68	0.51
"SRR7648346"	65.57	0.27	0.13
"SRR6837560"	26.59	73.37	0.02
"SRR7042352"	96.21	3.73	0.05
"SRR7648350"	80.87	0.25	0.11
"SRR7648296"	36.68	0.1	0.06
"SRR5512135"	96.21	3.38	0.22
"ERR2592265"	72.68	25.47	0.62
"SRR7648349"	85.47	0.26	0.1
"DRR092710"	53.9	45.32	0.57
"DRR090561"	94.45	5.34	0.1
"SRR7042384"	94.09	5.83	0.08
"SRR7042376"	95.42	4.53	0.05
"SRR6837564"	91.06	8.86	0.05
"ERR2592254"	65.59	33.96	0.12
"SRR5916029"	92.71	7.23	0.06
"ERR2592279"	75.18	23.34	0.2
"SRR9178510"	95.47	2.05	0.77
"SRR7042374"	95.04	4.89	0.06
"SRR6837565"	33.56	66.38	0.03
"ERR2592270"	51.26	47.79	0.52
"SRR7648336"	55.23	0.21	0.07
"SRR7042337"	95.17	4.78	0.04
"ERR2592259"	56.82	42.62	0.32
"SRR9178513"	96.64	1.19	0.43
"SRR6837552"	89.88	9.72	0.03
"ERR2592255"	60.74	38.88	0.08
"ERR2592269"	75.92	23.66	0.08
"ERR2592249"	79.74	19.59	0.05
"ERR2592333"	74.45	24.02	0.89
"SRR7648345"	77.06	0.37	0.11
"SRR6039440"	93.97	6	0.02
"SRR8821139"	90.39	9.51	0.09
"SRR5678816"	90.44	9.43	0.09
"ERR2592264"	63.83	35.79	0.19
"SRR7265441"	94.45	3.24	0.73
"SRR6814547"	95.78	4.14	0.07
"ERR2108715"	63.43	33.88	2.67
"SRR6837567"	50.56	49.33	0.04
"SRR7648284"	96.8	0.31	0.17
"SRR8821137"	94.54	5.4	0.05
"SRR7648290"	74.01	0.32	0.09
"SRR5916120"	96.03	3.95	0.02
"SRR7268126"	3.23	96.34	0.21
"SRR8556377"	77.12	9.16	13.69
"SRR5916285"	95.86	4.09	0.05
"SRR5512137"	97.03	2.55	0.22
"ERR2592335"	64.45	34.86	0.4
"SRR6800333"	74.72	25.21	0.01
"ERR2592244"	53.57	45.55	0.54
"SRR5916105"	96.62	3.35	0.02
"ERR2592338"	90.32	9.4	0.09
"SRR7268125"	13.78	84.72	1.1
"SRR8208346"	87.54	12.06	0.38
"SRR7648285"	83.74	0.3	0.22
"SRR7975446"	94.09	5.86	0.05
"SRR5916093"	94.44	5.42	0.13
"ERR2592246"	54.32	44.69	0.39
"SRR7648289"	76.7	0.47	0.18
"SRR8821167"	89	10.79	0.21
"SRR7042383"	96.29	3.66	0.03
"SRR5916236"	93.95	5.88	0.17
"ERR2592268"	77.99	20.94	0.47
"ERR2592331"	45.44	53.36	0.17
"SRR6043424"	97.09	2.79	0.12
"SRR7648310"	70.01	0.14	0.22
"SRR5916164"	95.98	3.91	0.11
"SRR8239395"	33.72	66.05	0.03
"SRR9178504"	95.68	1.41	1.5
"SRR6837553"	49.68	50.16	0.06
"SRR5512132"	95.24	4.53	0.23
"SRR5915956"	92.74	7.16	0.1
"SRR6837575"	90.22	9.6	0.05
"SRR6347720"	88.37	11.55	0.06
"SRR5916360"	93.16	6.68	0.15
"SRR5916312"	95.85	4.1	0.03
"DRR092706"	82.59	15.26	1.37
"SRR7648335"	87.42	0.23	0.1
"SRR6820484"	98.68	1.27	0.05
"SRR6837574"	89.65	10.23	0.08
"ERR981203"	72.37	27.18	0.31
"SRR5916332"	93.96	6.01	0.02
"ERR2592334"	74.26	25.34	0.23
"SRR6837562"	80.55	19.35	0.05
"SRR7042366"	94.86	5.04	0.09
"SRR6800319"	81.12	18.81	0.04
"DRR092707"	52.03	45.66	1.69
"SRR7648333"	74.39	0.43	0.12
"SRR7042388"	96.17	3.79	0.02
"SRR6043426"	94.63	3.77	0.86
"SRR6837561"	47.14	52.78	0.04
"SRR6820483"	99.81	0.16	0.03
"SRR8821131"	94.78	5.17	0.04
"SRR6837559"	88.66	11.29	0.04
"SRR6837569"	87.64	12.27	0.05
"ERR2108707"	71.38	27.62	0.99
"ERR2592250"	55.42	43.87	0.27
"SRR6837571"	91.26	8.63	0.07
"SRR6039441"	94.18	5.78	0.02
"SRR5916247"	94.34	5.52	0.14
"SRR5512145"	95.39	4.17	0.18
"SRR6043425"	59.93	39.89	0.15
"SRR5916017"	92.34	7.57	0.08
"DRR092712"	81.85	17.4	0.59
"SRR8821155"	92.81	7.15	0.04
"SRR5916267"	94.53	5.42	0.04
"DRR092714"	82.01	17.3	0.45
"SRR7648320"	120.89	0.59	0.39
"SRR6039442"	93.54	6.43	0.02
"SRR5916294"	94.53	5.38	0.09
"SRR6837570"	93.79	6.13	0.05
"SRR7648341"	64.45	0.29	0.14
"SRR7648332"	72.8	0.25	0.11
"SRR6800322"	80.18	19.77	0.03
"SRR6837577"	91.05	8.78	0.05
"SRR6800332"	84.6	15.27	0.03
"SRR6837549"	85.89	14	0.07
"SRR6837558"	47.96	51.9	0.06
"SRR6820481"	99.82	0.11	0.06
"SRR6837556"	25.36	74.38	0.21
"SRR8821127"	94.68	5.27	0.04
"SRR5916354"	92.14	7.76	0.1
"SRR6837557"	96.4	3.51	0.06
"SRR7648286"	90.73	0.26	0.12
"SRR6030929"	93.7	6.28	0.01
"SRR6800324"	73.46	26.49	0.01
"SRR5916262"	92.94	7	0.06
"SRR5916175"	93.89	5.95	0.16
"SRR5916217"	93.17	6.69	0.13
"ERR2592275"	84.04	15.64	0.15
"SRR6837583"	95.03	4.87	0.07
"SRR5678809"	94.11	5.82	0.05
"SRR6837551"	45.29	54.59	0.05
"SRR5678815"	90.21	9.67	0.09
"SRR5915990"	94.62	5.32	0.05
"SRR5915997"	93.43	6.52	0.05
"SRR6220868"	97.5	2.34	0.15
"SRR6800328"	83.16	16.71	0.01
"ERR2592343"	67.07	32.34	0.33
"SRR7648326"	74.13	0.21	0.13
"SRR5916575"	90.77	4.35	3.67
"SRR7648331"	68.32	0.25	0.12
"SRR8821157"	92.72	7.06	0.21
"SRR5916329"	93.2	6.74	0.06
"SRR6670122"	92.13	7.62	0.25
"SRR8821161"	90.94	8.93	0.12
"SRR7268124"	43.17	55.24	1.22
"ERR2108705"	61.68	37.58	0.73
"SRR6837579"	48.1	51.76	0.07
"SRR6837581"	28.45	71.49	0.03
"SRR7648298"	64.03	0.4	0.09
"SRR5916129"	95.46	4.48	0.06
"SRR5916275"	91.43	8.44	0.12
"SRR7648297"	79.96	0.38	0.11
"SRR6837578"	62.53	37.31	0.11
"SRR5915983"	91.82	8.09	0.08
"SRR8821150"	92.59	7.22	0.18
"SRR5512139"	94.54	4.97	0.25
"ERR2592328"	67.6	31.29	0.8
"SRR6800326"	85.16	14.49	0.01
"SRR6837580"	93.26	6.62	0.02
"SRR5916545"	58.99	38.27	1.01
"SRR6820485"	95	0.13	4.86
"SRR8239393"	45.18	54.71	0.03
"SRR5915970"	97.15	2.82	0.02
"SRR5916310"	91.71	8.17	0.12
"SRR6800331"	81.89	18.03	0.02
"DRR092711"	94.39	3.93	1.61
"SRR5916333"	93.61	6.3	0.09
"ERR2592342"	67.95	31.05	0.62
"SRR6800321"	76.18	23.76	0.02
"SRR6837555"	72.62	27.26	0.07
"SRR6800320"	76.5	23.43	0.02
"SRR5916479"	81.34	15.35	2.31
"SRR5678810"	94.26	5.67	0.05
